,Ticker,Name,CIK
0,MMM,3M Company,0000066740
1,ABT,Abbott Laboratories,0000001800
2,ABBV,AbbVie Inc.,0001551152
3,ABMD,ABIOMED Inc,0000815094
4,ACN,Accenture plc,0001467373
5,ATVI,Activision Blizzard,0000718877
6,ADBE,Adobe Systems Inc,0000796343
7,AMD,Advanced Micro Devices Inc,0000002488
8,AAP,Advance Auto Parts,0001158449
9,AES,AES Corp,0000874761
10,AMG,Affiliated Managers Group Inc,0001004434
11,AFL,AFLAC Inc,0000004977
12,A,Agilent Technologies Inc,0001090872
13,APD,Air Products & Chemicals Inc,0000002969
14,AKAM,Akamai Technologies Inc,0001086222
15,ALK,Alaska Air Group Inc,0000766421
16,ALB,Albemarle Corp,0000915913
17,ARE,Alexandria Real Estate Equities,0001035443
18,ALXN,Alexion Pharmaceuticals,0000899866
19,ALGN,Align Technology,0001097149
20,ALLE,Allegion,0001579241
21,AGN,"Allergan, Plc",0001578845
22,ADS,Alliance Data Systems,0001101215
23,LNT,Alliant Energy Corp,0000352541
24,ALL,Allstate Corp,0000899051
25,GOOGL,Alphabet Inc Class A,0001652044
27,MO,Altria Group Inc,0000764180
28,AMZN,Amazon.com Inc.,0001018724
29,AMCR,Amcor plc,0001748790
30,AEE,Ameren Corp,0001002910
31,AAL,American Airlines Group,0000006201
32,AEP,American Electric Power,0000004904
33,AXP,American Express Co,0000004962
34,AIG,American International Group,0000005272
35,AMT,American Tower Corp.,0001053507
36,AWK,American Water Works Company Inc,0001410636
37,AMP,Ameriprise Financial,0000820027
38,ABC,AmerisourceBergen Corp,0001140859
39,AME,AMETEK Inc.,0001037868
40,AMGN,Amgen Inc.,0000318154
41,APH,Amphenol Corp,0000820313
42,APC,Anadarko Petroleum Corp,0000773910
43,ADI,"Analog Devices, Inc.",0000006281
44,ANSS,ANSYS,0001013462
45,ANTM,Anthem,0001156039
46,AON,Aon plc,0000315293
47,AOS,A.O. Smith Corp,0000091142
48,APA,Apache Corporation,0000006769
49,AIV,Apartment Investment & Management,0000922864
50,AAPL,Apple Inc.,0000320193
